,date,close,open,max,min,volume,returnsOpenPrev
0,13/06/2019,32.37,32.79,32.79,31.79,0.0,-0.0031
1,12/06/2019,32.47,32.73,33.2,32.43,0.0,-0.008199999999999999
2,11/06/2019,32.74,32.77,32.99,32.44,0.0,0.0028000000000000004
3,10/06/2019,32.65,32.6,32.92,31.95,0.0,-0.0091
4,07/06/2019,32.95,32.88,33.33,32.6,1980000.0,0.0060999999999999995
5,06/06/2019,32.75,32.71,33.0,32.37,1610000.0,0.013300000000000001
6,05/06/2019,32.32,32.72,32.88,31.98,2590000.0,-0.0116
7,04/06/2019,32.7,32.95,32.97,32.44,3130000.0,-0.0015
8,03/06/2019,32.75,32.73,32.87,32.3,2820000.0,0.0037
9,31/05/2019,32.63,32.26,32.87,32.25,2780000.0,0.0031
10,30/05/2019,32.53,32.03,32.59,31.63,2230000.0,0.015600000000000001
11,29/05/2019,32.03,31.25,32.18,31.12,3130000.0,0.0184
12,28/05/2019,31.45,30.48,31.46,30.2,7790000.0,0.0335
13,27/05/2019,30.43,30.28,30.79,30.12,1980000.0,0.0143
14,24/05/2019,30.0,30.5,30.5,29.84,3110000.0,-0.0066
15,23/05/2019,30.2,29.91,30.36,29.67,2420000.0,0.0003
16,22/05/2019,30.19,30.65,30.77,30.02,1830000.0,-0.0144
17,21/05/2019,30.63,29.46,30.71,29.19,3000000.0,0.0433
18,20/05/2019,29.36,28.51,29.36,28.24,2380000.0,0.0342
19,17/05/2019,28.39,28.13,28.69,27.99,3020000.0,0.008199999999999999
20,16/05/2019,28.16,28.32,28.61,27.89,3130000.0,-0.0178
21,15/05/2019,28.67,28.58,28.86,28.23,3480000.0,-0.009000000000000001
22,14/05/2019,28.93,29.38,29.43,28.88,2029999.9999999998,-0.0086
23,13/05/2019,29.18,29.39,29.63,29.07,2490000.0,-0.0286
24,10/05/2019,30.04,30.18,30.51,29.71,2820000.0,-0.0102
25,09/05/2019,30.35,30.63,30.7,30.12,1750000.0,-0.0197
26,08/05/2019,30.96,30.46,31.46,30.43,2410000.0,0.0235
27,07/05/2019,30.25,30.42,30.42,29.58,2740000.0,-0.013999999999999999
28,06/05/2019,30.68,31.41,31.56,30.58,2260000.0,-0.0325
29,03/05/2019,31.71,31.18,31.71,31.04,4010000.0,0.0199
30,02/05/2019,31.09,30.69,31.24,30.5,3370000.0,0.0039000000000000003
31,30/04/2019,30.97,30.83,31.07,30.58,4120000.0,0.0029
32,29/04/2019,30.88,31.32,31.32,30.57,2940000.0,-0.0029
33,26/04/2019,30.97,30.94,31.12,30.79,2780000.0,0.0
34,25/04/2019,30.97,31.07,31.07,30.1,4190000.0000000005,-0.0003
35,24/04/2019,30.98,30.97,31.01,30.23,2570000.0,0.0003
36,23/04/2019,30.97,30.52,31.29,30.41,3130000.0,0.0184
37,22/04/2019,30.41,30.23,30.55,29.88,2049999.9999999998,-0.0003
38,18/04/2019,30.42,30.22,30.62,29.85,2300000.0,0.0123
39,17/04/2019,30.05,30.31,30.49,29.45,5020000.0,-0.0053
40,16/04/2019,30.21,30.09,30.57,30.09,2770000.0,-0.0007000000000000001
41,15/04/2019,30.23,30.58,30.64,30.03,2950000.0,-0.0079
42,12/04/2019,30.47,30.43,31.08,30.13,3270000.0,-0.012
43,11/04/2019,30.84,31.25,31.25,30.32,1970000.0,-0.0106
44,10/04/2019,31.17,31.57,31.57,30.93,1490000.0,-0.0092
45,09/04/2019,31.46,31.52,31.52,30.9,3230000.0,-0.006
46,08/04/2019,31.65,31.58,31.8,31.21,2630000.0,0.0034999999999999996
47,05/04/2019,31.54,31.53,31.84,31.12,3020000.0,0.0054
48,04/04/2019,31.37,31.27,31.6,30.87,3690000.0,0.016200000000000003
49,03/04/2019,30.87,31.64,31.67,30.49,3420000.0,-0.0128
50,02/04/2019,31.27,31.76,31.89,30.87,1860000.0,-0.0089
51,01/04/2019,31.55,31.77,32.18,31.34,2130000.0,0.0019
52,29/03/2019,31.49,31.06,31.49,30.76,3080000.0,0.0231
53,28/03/2019,30.78,29.38,31.2,29.14,3740000.0,0.0434
54,27/03/2019,29.5,29.95,30.19,29.3,3400000.0,-0.0318
55,26/03/2019,30.47,30.76,30.82,30.35,2160000.0,0.0033
56,25/03/2019,30.37,29.84,30.62,29.79,3480000.0,0.004
57,22/03/2019,30.25,30.67,30.67,29.78,4070000.0000000005,-0.0264
58,21/03/2019,31.07,32.08,32.21,30.72,3370000.0,-0.0315
59,20/03/2019,32.08,32.73,32.9,32.04,3650000.0,-0.019
60,19/03/2019,32.7,33.2,33.35,32.7,2250000.0,-0.0195
