,date,close,open,max,min,volume,returnsOpenPrev
0,13/06/2019,33.98,34.55,34.58,33.71,36790000.0,-0.0179
1,12/06/2019,34.6,34.8,35.12,34.47,17610000.0,-0.005699999999999999
2,11/06/2019,34.8,34.85,34.98,34.24,29120000.0,0.0049
3,10/06/2019,34.63,34.85,34.87,34.11,18220000.0,-0.0125
4,07/06/2019,35.07,34.78,35.28,34.67,13310000.0,0.010700000000000001
5,06/06/2019,34.7,34.69,34.89,34.38,11370000.0,0.0105
6,05/06/2019,34.34,35.09,35.16,34.27,12120000.0,-0.0194
7,04/06/2019,35.02,35.2,35.3,34.76,16500000.0,-0.0017000000000000001
8,03/06/2019,35.08,35.2,35.32,34.73,18900000.0,0.0023
9,31/05/2019,35.0,34.89,35.4,34.75,0.0,-0.0023
10,30/05/2019,35.08,34.81,35.22,34.68,0.0,0.0104
11,29/05/2019,34.72,33.85,34.89,33.85,0.0,0.018799999999999997
12,28/05/2019,34.08,33.28,34.08,33.12,0.0,0.0281
13,27/05/2019,33.15,33.33,33.58,33.03,0.0,0.0036
14,24/05/2019,33.03,33.8,33.85,33.01,0.0,-0.0149
15,23/05/2019,33.53,33.39,33.72,33.13,0.0,-0.0021
16,22/05/2019,33.6,33.7,33.8,32.97,0.0,0.0012
17,21/05/2019,33.56,32.4,33.59,32.36,0.0,0.0384
18,20/05/2019,32.32,31.7,32.38,31.39,0.0,0.026000000000000002
19,17/05/2019,31.5,31.37,32.0,31.11,0.0,0.0019
20,16/05/2019,31.44,31.5,31.67,31.16,0.0,-0.0129
21,15/05/2019,31.85,31.51,31.85,31.14,0.0,0.0031
22,14/05/2019,31.75,32.07,32.18,31.63,0.0,-0.004699999999999999
23,13/05/2019,31.9,31.72,32.05,31.66,0.0,-0.015700000000000002
24,10/05/2019,32.41,32.49,32.8,32.03,0.0,-0.0046
25,09/05/2019,32.56,32.57,32.87,32.24,0.0,-0.0124
26,08/05/2019,32.97,32.74,33.38,32.74,0.0,0.0113
27,07/05/2019,32.6,32.7,32.72,31.95,0.0,-0.011200000000000002
28,06/05/2019,32.97,33.34,33.49,32.93,0.0,-0.022000000000000002
29,03/05/2019,33.71,34.2,34.28,33.64,0.0,-0.0097
30,02/05/2019,34.04,33.67,34.22,33.59,0.0,0.0062
31,30/04/2019,33.83,33.69,34.03,33.43,0.0,0.0089
32,29/04/2019,33.53,33.95,34.11,33.39,0.0,-0.008
33,26/04/2019,33.8,33.81,33.92,33.41,0.0,0.0024
34,25/04/2019,33.72,33.02,33.8,32.64,0.0,0.0154
35,24/04/2019,33.21,33.18,33.24,32.68,0.0,0.0015
36,23/04/2019,33.16,33.0,33.45,33.0,0.0,0.0128
37,22/04/2019,32.74,32.77,33.15,32.39,0.0,-0.0027
38,18/04/2019,32.83,32.52,33.2,32.12,0.0,0.013600000000000001
39,17/04/2019,32.39,33.0,33.2,32.0,0.0,-0.0155
40,16/04/2019,32.9,32.72,33.46,32.72,0.0,-0.0009
41,15/04/2019,32.93,33.24,33.33,32.64,0.0,-0.0006
42,12/04/2019,32.95,33.11,33.81,32.67,29380000.0,-0.0105
43,11/04/2019,33.3,33.87,34.03,33.12,12020000.0,-0.0232
44,10/04/2019,34.09,34.38,34.42,33.81,26290000.0,-0.0018
45,09/04/2019,34.15,34.17,34.22,33.61,13350000.0,-0.0055000000000000005
46,08/04/2019,34.34,34.55,34.67,34.15,9180000.0,-0.0060999999999999995
47,05/04/2019,34.55,34.01,34.67,33.8,16180000.0,0.0216
48,04/04/2019,33.82,33.67,34.09,33.25,17990000.0,0.015
49,03/04/2019,33.32,34.04,34.19,33.19,19410000.0,-0.0089
50,02/04/2019,33.62,34.24,34.3,33.53,16290000.0,-0.0158
51,01/04/2019,34.16,34.74,34.8,34.0,17180000.0,-0.0078000000000000005
52,29/03/2019,34.43,34.52,34.55,33.92,19660000.0,0.0097
53,28/03/2019,34.1,32.9,34.34,32.65,31070000.0,0.039599999999999996
54,27/03/2019,32.8,33.43,33.64,32.79,27780000.0,-0.0339
55,26/03/2019,33.95,34.0,34.11,33.5,15990000.0,0.0104
56,25/03/2019,33.6,33.49,34.12,33.3,19870000.0,0.0015
57,22/03/2019,33.55,34.05,34.12,33.36,30430000.0,-0.029500000000000002
58,21/03/2019,34.57,35.31,35.41,34.1,31490000.0,-0.0176
59,20/03/2019,35.19,36.06,36.22,35.19,25960000.0,-0.0225
60,19/03/2019,36.0,37.0,37.0,36.0,34880000.0,-0.0233
61,18/03/2019,36.86,36.86,37.06,36.74,11230000.0,0.0016
62,15/03/2019,36.8,36.73,37.17,36.48,19040000.0,-0.0003
63,14/03/2019,36.81,37.4,37.4,36.44,17770000.0,-0.0158
64,13/03/2019,37.4,36.82,37.67,36.7,22160000.0,0.0108
65,12/03/2019,37.0,36.92,37.0,36.59,13090000.0,0.0022
66,11/03/2019,36.92,35.85,37.02,35.83,19900000.0,0.0327
67,08/03/2019,35.75,35.12,35.89,34.85,13570000.0,0.011899999999999999
68,07/03/2019,35.33,34.8,35.54,34.67,18960000.0,0.0138
69,06/03/2019,34.85,35.14,35.22,34.67,9640000.0,0.0003
70,01/03/2019,34.84,35.49,35.59,34.84,16149999.999999998,-0.0105
71,28/02/2019,35.21,35.25,36.0,35.16,18010000.0,-0.0189
72,27/02/2019,35.89,36.2,36.35,35.89,10130000.0,-0.0088
73,26/02/2019,36.21,36.17,36.4,36.07,8050000.000000001,0.0036
74,25/02/2019,36.08,36.73,36.86,36.06,12450000.0,-0.015300000000000001
75,22/02/2019,36.64,36.51,36.64,36.21,17460000.0,0.0141
76,21/02/2019,36.13,35.85,36.13,35.48,25310000.0,0.018000000000000002
77,20/02/2019,35.49,36.21,36.54,35.49,28750000.0,-0.0125
78,19/02/2019,35.94,35.52,36.18,35.41,22550000.0,0.0231
79,18/02/2019,35.13,35.56,35.71,35.13,17600000.0,-0.016200000000000003
80,15/02/2019,35.71,35.89,36.02,35.41,26850000.0,-0.0103
81,14/02/2019,36.08,35.42,36.08,34.69,32890000.0,0.0268
82,13/02/2019,35.14,36.11,36.15,35.09,31480000.0,-0.022799999999999997
83,12/02/2019,35.96,35.65,36.17,35.44,22160000.0,0.0236
84,11/02/2019,35.13,35.53,35.62,34.85,18350000.0,-0.0113
85,08/02/2019,35.53,34.73,35.75,34.61,30840000.0,0.0216
86,07/02/2019,34.78,35.06,35.31,34.33,30750000.0,0.0034999999999999996
87,06/02/2019,34.66,35.99,36.08,34.66,39180000.0,-0.042
88,05/02/2019,36.18,36.72,36.94,35.82,71190000.0,-0.0426
89,04/02/2019,37.79,36.82,37.89,36.56,17690000.0,0.0227
90,01/02/2019,36.95,36.75,37.23,36.51,13540000.0,0.0011
91,31/01/2019,36.91,36.61,37.49,36.52,26940000.0,0.0174
92,30/01/2019,36.28,36.38,36.56,35.6,19390000.0,0.0064
93,29/01/2019,36.05,36.55,36.69,36.05,15830000.0,-0.0074
94,28/01/2019,36.32,35.28,36.5,35.28,22560000.0,0.0179
95,24/01/2019,35.68,35.55,35.91,35.44,21280000.0,-0.0014000000000000002
96,23/01/2019,35.73,35.64,35.87,35.18,27250000.0,0.0068000000000000005
97,22/01/2019,35.49,35.55,35.77,35.19,12190000.0,-0.0017000000000000001
98,21/01/2019,35.55,35.69,35.82,35.26,7770000.0,-0.008100000000000001
99,18/01/2019,35.84,35.41,35.96,35.41,21330000.0,0.0127
100,17/01/2019,35.39,35.25,35.55,34.97,25770000.0,0.0
101,16/01/2019,35.39,35.55,35.59,34.93,17300000.0,-0.0028000000000000004
102,15/01/2019,35.49,35.86,35.92,35.1,41120000.0,-0.0155
103,14/01/2019,36.05,35.76,36.05,35.64,17400000.0,0.0073
104,11/01/2019,35.79,35.79,36.1,35.5,13630000.0,-0.0060999999999999995
105,10/01/2019,36.01,36.09,36.54,35.83,24740000.0,-0.0066
106,09/01/2019,36.25,36.07,36.25,35.77,20310000.0,0.0151
107,08/01/2019,35.71,35.39,35.76,34.8,19560000.0,0.0128
108,07/01/2019,35.26,35.03,35.69,34.98,16900000.0,0.0017000000000000001
109,04/01/2019,35.2,35.43,35.89,34.98,24870000.0,-0.0168
110,03/01/2019,35.8,35.17,35.8,34.69,21940000.0,0.0165
111,02/01/2019,35.22,33.73,35.35,33.65,25580000.0,0.0429
112,28/12/2018,33.77,32.95,33.91,32.77,13680000.0,0.0349
113,27/12/2018,32.63,32.02,32.78,32.02,13650000.0,0.0168
114,26/12/2018,32.09,32.43,32.51,31.64,19160000.0,-0.0216
115,21/12/2018,32.8,33.2,33.33,32.56,28160000.0,-0.0049
116,20/12/2018,32.96,33.28,33.51,32.9,27230000.0,-0.0003
117,19/12/2018,32.97,33.63,34.01,32.97,14980000.0,-0.0132
118,18/12/2018,33.41,33.03,33.69,32.9,14510000.0,0.0161
119,17/12/2018,32.88,33.76,33.8,32.87,14530000.0,-0.026600000000000002
120,14/12/2018,33.78,33.75,34.0,33.49,12150000.0,-0.0073
121,13/12/2018,34.03,33.42,34.03,33.22,16410000.0,0.0176
122,12/12/2018,33.44,33.38,33.65,33.03,32170000.0,0.0069
123,11/12/2018,33.21,33.38,33.44,32.67,19750000.0,0.0088
124,10/12/2018,32.92,33.72,33.99,32.84,15070000.0,-0.026600000000000002
125,07/12/2018,33.82,33.89,34.57,33.67,16980000.0,-0.008199999999999999
126,06/12/2018,34.1,33.3,34.1,33.1,18610000.0,0.0092
127,05/12/2018,33.79,33.86,34.08,33.61,14000000.0,0.0006
128,04/12/2018,33.77,33.91,34.26,33.24,23400000.0,-0.0012
129,03/12/2018,33.81,35.0,35.0,33.55,23860000.0,-0.0126
130,30/11/2018,34.24,34.28,35.01,34.24,21820000.0,-0.009300000000000001
131,29/11/2018,34.56,33.86,34.68,33.76,14530000.0,0.0091
132,28/11/2018,34.25,33.37,34.31,33.1,19330000.0,0.0248
133,27/11/2018,33.42,32.56,33.49,32.34,17390000.0,0.034
134,26/11/2018,32.32,33.04,33.35,32.06,21550000.0,-0.0167
135,23/11/2018,32.87,32.9,33.01,32.59,11900000.0,-0.0009
136,22/11/2018,32.9,33.27,33.31,32.75,6610000.0,-0.0024
137,21/11/2018,32.98,33.27,33.51,32.85,15990000.0,-0.0129
138,19/11/2018,33.41,33.3,33.57,33.16,19610000.0,-0.0006
139,16/11/2018,33.43,32.64,33.53,32.53,28900000.0,0.0308
140,14/11/2018,32.43,32.13,32.55,31.89,27290000.0,0.0087
141,13/11/2018,32.15,32.27,32.55,31.83,19210000.0,-0.0037
142,12/11/2018,32.27,32.11,32.45,31.94,13120000.0,0.0028000000000000004
143,09/11/2018,32.18,31.69,32.33,31.44,23420000.0,0.0123
144,08/11/2018,31.79,32.32,32.63,31.75,21130000.0,-0.0137
145,07/11/2018,32.23,32.28,32.53,31.7,23280000.0,0.0009
146,06/11/2018,32.2,31.52,32.2,31.5,24220000.0,0.0066
147,05/11/2018,31.99,31.69,32.03,31.54,25890000.0,0.010700000000000001
148,01/11/2018,31.65,31.37,31.72,30.95,22560000.0,0.0141
