,date,close,open,max,min,volume,returnsOpenPrev
0,30/04/2019,45.01,46.2,46.6,44.54,1980000.0,-0.0172
1,29/04/2019,45.8,46.25,46.25,45.47,737700.0,0.0028000000000000004
2,26/04/2019,45.67,45.5,46.2,45.3,1050000.0,-0.0004
3,25/04/2019,45.69,45.23,45.69,44.36,1840000.0,0.012
4,24/04/2019,45.15,46.12,46.17,44.74,1820000.0,-0.021
5,23/04/2019,46.12,46.11,46.77,45.84,1700000.0,0.0026
6,22/04/2019,46.0,45.44,46.0,44.61,1280000.0,0.015
7,18/04/2019,45.32,44.25,45.67,43.83,1490000.0,0.030699999999999998
8,17/04/2019,43.97,45.37,45.98,43.76,2960000.0,-0.030600000000000002
9,16/04/2019,45.36,44.55,46.08,44.42,1220000.0,0.0168
10,15/04/2019,44.61,44.71,45.45,44.43,1450000.0,-0.0018
11,12/04/2019,44.69,44.3,45.54,44.19,1840000.0,0.002
12,11/04/2019,44.6,45.15,45.15,44.05,1050000.0,-0.0124
13,10/04/2019,45.16,45.1,45.36,44.71,1090000.0,0.0087
14,09/04/2019,44.77,44.94,45.17,44.23,1530000.0,-0.0158
15,08/04/2019,45.49,45.52,45.86,45.2,1380000.0,-0.0044
16,05/04/2019,45.69,44.95,45.69,44.3,1310000.0,0.024
17,04/04/2019,44.62,43.61,44.72,42.91,2630000.0,0.0317
18,03/04/2019,43.25,43.9,44.62,43.25,1280000.0,-0.0092
19,02/04/2019,43.65,44.74,44.82,43.32,2040000.0,-0.014499999999999999
20,01/04/2019,44.29,43.82,44.92,43.54,1270000.0,0.013300000000000001
21,29/03/2019,43.71,43.44,43.78,42.95,1110000.0,0.0191
22,28/03/2019,42.89,40.96,43.41,40.9,1930000.0,0.037000000000000005
23,27/03/2019,41.36,42.94,43.53,41.36,3590000.0,-0.0483
24,26/03/2019,43.46,44.16,44.16,43.19,2150000.0,-0.0009
25,25/03/2019,43.5,42.83,43.69,42.79,1410000.0,0.011399999999999999
