"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"14.06.2019","32,00","32,36","32,36","31,61","-","-1,14%"
"13.06.2019","32,37","32,79","32,79","31,79","-","-0,31%"
"12.06.2019","32,47","32,73","33,20","32,43","-","-0,82%"
"11.06.2019","32,74","32,77","32,99","32,44","-","0,28%"
"10.06.2019","32,65","32,60","32,92","31,95","-","-0,91%"
"07.06.2019","32,95","32,88","33,33","32,60","1,98M","0,61%"
"06.06.2019","32,75","32,71","33,00","32,37","1,61M","1,33%"
"05.06.2019","32,32","32,72","32,88","31,98","2,59M","-1,16%"
"04.06.2019","32,70","32,95","32,97","32,44","3,13M","-0,15%"
"03.06.2019","32,75","32,73","32,87","32,30","2,82M","0,37%"
"31.05.2019","32,63","32,26","32,87","32,25","2,78M","0,31%"
"30.05.2019","32,53","32,03","32,59","31,63","2,23M","1,56%"
"29.05.2019","32,03","31,25","32,18","31,12","3,13M","1,84%"
"28.05.2019","31,45","30,48","31,46","30,20","7,79M","3,35%"
"27.05.2019","30,43","30,28","30,79","30,12","1,98M","1,43%"
"24.05.2019","30,00","30,50","30,50","29,84","3,11M","-0,66%"
"23.05.2019","30,20","29,91","30,36","29,67","2,42M","0,03%"
"22.05.2019","30,19","30,65","30,77","30,02","1,83M","-1,44%"
"21.05.2019","30,63","29,46","30,71","29,19","3,00M","4,33%"
"20.05.2019","29,36","28,51","29,36","28,24","2,38M","3,42%"
"17.05.2019","28,39","28,13","28,69","27,99","3,02M","0,82%"
"16.05.2019","28,16","28,32","28,61","27,89","3,13M","-1,78%"
"15.05.2019","28,67","28,58","28,86","28,23","3,48M","-0,90%"
"14.05.2019","28,93","29,38","29,43","28,88","2,03M","-0,86%"
"13.05.2019","29,18","29,39","29,63","29,07","2,49M","-2,86%"
"10.05.2019","30,04","30,18","30,51","29,71","2,82M","-1,02%"
"09.05.2019","30,35","30,63","30,70","30,12","1,75M","-1,97%"
"08.05.2019","30,96","30,46","31,46","30,43","2,41M","2,35%"
"07.05.2019","30,25","30,42","30,42","29,58","2,74M","-1,40%"
"06.05.2019","30,68","31,41","31,56","30,58","2,26M","-3,25%"
"03.05.2019","31,71","31,18","31,71","31,04","4,01M","1,99%"
"02.05.2019","31,09","30,69","31,24","30,50","3,37M","0,39%"
"30.04.2019","30,97","30,83","31,07","30,58","4,12M","0,29%"
