"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.06.2019","98.773,70","98.321,11","99.364,48","98.321,11","5,77M","0,46%"
"12.06.2019","98.320,88","98.959,59","99.239,50","97.831,00","5,10M","-0,65%"
"11.06.2019","98.960,00","97.466,69","98.984,60","97.466,69","5,08M","1,53%"
"10.06.2019","97.466,69","97.827,62","97.856,00","96.782,23","3,69M","-0,36%"
"07.06.2019","97.821,26","97.204,85","98.325,57","97.204,85","3,83M","0,63%"
"06.06.2019","97.204,85","96.001,79","97.461,97","96.001,79","4,18M","1,26%"
"05.06.2019","95.998,75","97.381,37","97.686,14","95.685,84","3,89M","-1,42%"
"04.06.2019","97.380,28","97.020,10","97.722,88","96.593,43","4,43M","0,37%"
"03.06.2019","97.020,48","97.035,78","97.756,75","96.429,88","4,69M","-0,01%"
"31.05.2019","97.030,32","97.419,73","97.992,31","96.792,40","5,25M","-0,44%"
"30.05.2019","97.457,36","96.565,54","97.939,08","96.510,53","4,53M","0,92%"
"29.05.2019","96.566,55","96.388,66","96.985,83","95.689,78","4,70M","0,18%"
"28.05.2019","96.392,76","94.863,04","96.551,80","94.706,70","6,58M","1,61%"
"27.05.2019","94.864,25","93.625,70","95.444,04","93.625,70","2,62M","1,32%"
"24.05.2019","93.627,80","93.912,05","94.899,52","93.545,46","3,59M","-0,30%"
"23.05.2019","93.910,03","94.360,10","94.546,68","93.299,97","3,90M","-0,48%"
"22.05.2019","94.360,66","94.485,43","95.211,75","93.882,56","4,36M","-0,13%"
"21.05.2019","94.484,63","91.945,56","94.572,55","91.945,56","5,56M","2,76%"
"20.05.2019","91.946,19","90.005,81","92.116,51","89.822,25","4,76M","2,17%"
"17.05.2019","89.992,73","90.023,41","91.320,54","89.408,93","5,51M","-0,04%"
"16.05.2019","90.024,47","91.621,82","91.621,82","89.778,11","5,74M","-1,75%"
"15.05.2019","91.623,44","92.087,83","92.087,83","90.294,63","4,94M","-0,51%"
"14.05.2019","92.092,44","91.736,48","92.528,53","91.562,45","4,17M","0,40%"
"13.05.2019","91.726,54","94.252,49","94.252,49","91.599,97","4,81M","-2,69%"
"10.05.2019","94.257,56","94.809,00","94.847,83","93.234,12","4,22M","-0,58%"
"09.05.2019","94.807,85","95.596,61","95.596,61","93.883,23","4,28M","-0,83%"
"08.05.2019","95.596,61","94.388,56","96.311,89","94.388,56","5,07M","1,28%"
"07.05.2019","94.388,73","95.008,66","95.008,66","92.749,70","5,06M","-0,65%"
"06.05.2019","95.008,66","95.991,51","95.991,51","94.539,99","3,32M","-1,04%"
"03.05.2019","96.007,89","95.520,64","96.314,61","95.520,64","4,14M","0,50%"
"02.05.2019","95.527,62","96.339,31","96.339,31","95.311,67","3,98M","-0,86%"
"30.04.2019","96.353,33","96.191,45","96.706,71","95.613,24","4,36M","0,17%"
"29.04.2019","96.187,75","96.253,53","97.123,09","96.003,57","3,33M","-0,05%"
"26.04.2019","96.236,04","96.552,15","96.563,20","95.620,12","3,88M","-0,33%"
"25.04.2019","96.552,03","95.026,88","96.552,03","94.212,77","5,03M","1,59%"
"24.04.2019","95.045,43","95.923,48","95.923,48","94.163,33","4,80M","-0,92%"
"23.04.2019","95.923,24","94.590,49","96.315,40","94.590,49","4,44M","1,41%"
"22.04.2019","94.588,06","94.577,82","95.037,90","93.720,50","3,27M","0,01%"
"18.04.2019","94.578,26","93.285,33","95.140,29","93.285,33","5,09M","1,39%"
"17.04.2019","93.284,75","94.336,78","95.041,78","92.337,54","6,66M","-1,11%"
"16.04.2019","94.333,31","93.082,09","95.061,95","92.878,99","4,72M","1,34%"
"15.04.2019","93.082,97","92.874,83","93.722,86","92.697,05","4,77M","0,22%"
"12.04.2019","92.875,00","94.746,92","94.768,18","92.516,32","6,93M","-1,98%"
"11.04.2019","94.754,70","95.953,90","95.953,90","94.173,36","3,64M","-1,25%"
"10.04.2019","95.953,45","96.291,79","96.902,14","95.669,58","4,72M","-0,35%"
"09.04.2019","96.291,79","97.366,05","97.366,05","95.487,57","3,85M","-1,11%"
"08.04.2019","97.369,29","97.110,05","97.610,25","96.742,91","3,54M","0,27%"
"05.04.2019","97.108,17","96.319,32","97.493,10","96.152,08","3,80M","0,83%"
"04.04.2019","96.313,06","94.502,60","96.393,56","94.333,95","4,21M","1,93%"
"03.04.2019","94.491,48","95.392,32","96.442,31","94.124,40","4,44M","-0,94%"
"02.04.2019","95.386,76","96.062,10","96.690,17","94.824,93","3,83M","-0,70%"
"01.04.2019","96.054,45","95.422,90","96.751,53","95.422,90","3,87M","0,67%"
"29.03.2019","95.414,55","94.401,69","95.862,75","94.401,69","4,82M","1,09%"
"28.03.2019","94.388,94","91.900,60","94.853,71","91.584,26","5,35M","2,70%"
"27.03.2019","91.903,40","95.297,25","95.297,25","91.903,40","5,90M","-3,57%"
"26.03.2019","95.306,82","93.668,27","95.524,70","93.668,27","4,80M","1,76%"
"25.03.2019","93.662,01","93.735,41","94.383,78","93.103,15","4,65M","-0,08%"
"22.03.2019","93.735,15","96.724,71","96.724,71","93.379,64","6,19M","-3,10%"
"21.03.2019","96.729,08","98.041,14","98.045,97","95.456,28","5,49M","-1,34%"
"20.03.2019","98.041,37","99.588,47","99.707,96","97.980,93","4,78M","-1,55%"
"19.03.2019","99.588,37","99.990,91","100.438,87","99.372,87","5,39M","-0,41%"
"18.03.2019","99.993,92","99.141,49","100.037,69","99.141,43","4,33M","0,86%"
"15.03.2019","99.136,74","98.604,99","99.393,33","98.597,33","5,30M","0,54%"
"14.03.2019","98.604,67","98.904,72","99.035,54","97.775,83","3,70M","-0,30%"
"13.03.2019","98.903,88","97.831,23","99.267,22","97.464,10","4,96M","1,10%"
"12.03.2019","97.828,03","98.038,10","98.149,69","97.266,94","3,95M","-0,20%"
"11.03.2019","98.026,62","95.384,46","98.026,62","95.384,46","4,38M","2,79%"
"08.03.2019","95.364,85","94.340,17","95.475,68","93.304,76","4,18M","1,09%"
"07.03.2019","94.340,17","94.216,25","94.532,25","93.728,95","4,23M","0,13%"
"06.03.2019","94.216,87","94.603,63","94.889,38","93.945,46","2,80M","-0,41%"
"01.03.2019","94.603,75","95.584,35","96.113,18","94.393,59","4,18M","-1,03%"
"28.02.2019","95.584,35","97.307,38","97.528,01","95.364,39","5,53M","-1,77%"
"27.02.2019","97.307,31","97.602,50","97.781,81","96.885,98","3,99M","-0,30%"
"26.02.2019","97.602,50","97.242,44","97.903,97","97.235,48","3,66M","0,37%"
"25.02.2019","97.239,90","97.881,03","98.189,91","97.087,23","4,49M","-0,66%"
"22.02.2019","97.885,60","96.928,80","97.886,63","96.928,80","4,56M","0,98%"
"21.02.2019","96.932,27","96.546,17","97.231,40","95.793,10","5,99M","0,40%"
"20.02.2019","96.544,81","97.661,29","98.543,68","96.544,81","6,09M","-1,14%"
"19.02.2019","97.659,15","96.512,65","98.185,19","96.512,65","4,98M","1,19%"
"18.02.2019","96.509,89","97.526,51","97.526,51","96.238,89","2,92M","-1,04%"
"15.02.2019","97.525,91","98.015,09","98.237,80","97.083,07","4,73M","-0,50%"
"14.02.2019","98.015,09","95.842,52","98.018,83","94.915,48","5,38M","2,27%"
"13.02.2019","95.842,40","96.168,78","96.803,73","95.388,93","5,99M","-0,34%"
"12.02.2019","96.168,40","94.419,93","96.571,42","94.419,93","5,07M","1,86%"
"11.02.2019","94.412,91","95.351,17","95.498,93","93.736,67","3,88M","-0,98%"
"08.02.2019","95.343,10","94.401,26","95.485,59","93.424,29","5,47M","0,99%"
"07.02.2019","94.405,59","94.654,00","95.641,51","93.507,18","5,79M","-0,24%"
"06.02.2019","94.635,57","98.307,91","98.307,91","94.635,57","5,63M","-3,74%"
"05.02.2019","98.311,20","98.586,80","98.586,80","97.596,41","4,92M","-0,28%"
"04.02.2019","98.588,63","97.861,27","98.588,63","96.900,79","4,41M","0,74%"
"01.02.2019","97.861,27","97.395,48","98.043,90","96.990,33","4,43M","0,48%"
"31.01.2019","97.393,74","96.996,45","98.405,21","96.996,45","6,16M","0,41%"
"30.01.2019","96.996,21","95.642,96","97.106,68","95.642,96","6,36M","1,42%"
"29.01.2019","95.639,33","95.508,28","96.751,32","95.508,28","5,42M","0,20%"
"28.01.2019","95.443,88","97.674,04","97.936,82","94.783,03","7,41M","-2,29%"
"24.01.2019","97.677,19","96.557,73","97.677,19","96.557,73","5,17M","1,16%"
"23.01.2019","96.558,42","95.115,80","96.575,98","95.115,80","5,20M","1,53%"
"22.01.2019","95.103,38","96.008,44","96.069,51","94.661,91","4,39M","-0,94%"
"21.01.2019","96.009,77","96.092,61","96.092,61","94.862,85","2,80M","-0,09%"
"18.01.2019","96.096,75","95.386,26","96.395,98","95.386,26","5,04M","0,78%"
"17.01.2019","95.351,09","94.393,07","95.681,82","93.950,41","5,10M","1,01%"
"16.01.2019","94.393,07","94.056,82","94.393,07","93.686,83","4,39M","0,36%"
"15.01.2019","94.055,72","94.474,13","94.695,12","93.401,51","5,01M","-0,44%"
"14.01.2019","94.474,13","93.644,87","94.474,13","93.335,06","4,63M","0,87%"
"11.01.2019","93.658,31","93.805,57","93.960,78","93.358,67","5,50M","-0,16%"
"10.01.2019","93.805,93","93.599,15","93.987,17","93.049,78","4,99M","0,21%"
"09.01.2019","93.613,04","92.032,69","93.625,82","92.028,41","5,17M","1,72%"
"08.01.2019","92.031,86","91.699,05","92.230,99","91.063,90","4,64M","0,36%"
"07.01.2019","91.699,05","91.845,16","92.551,88","91.288,27","4,71M","-0,15%"
"04.01.2019","91.840,79","91.576,64","92.701,36","90.823,78","5,49M","0,30%"
"03.01.2019","91.564,25","91.011,00","91.596,28","89.921,57","6,25M","0,61%"
"02.01.2019","91.012,31","87.887,26","91.478,84","87.535,87","5,79M","3,56%"
"28.12.2018","87.887,26","85.469,47","88.044,02","85.469,47","3,76M","2,84%"
"27.12.2018","85.460,20","85.140,60","85.738,96","84.876,08","3,94M","0,38%"
"26.12.2018","85.136,10","85.684,26","85.684,26","83.891,74","3,46M","-0,65%"
"21.12.2018","85.697,15","85.268,82","86.554,05","85.134,12","6,26M","0,50%"
"20.12.2018","85.269,29","85.678,06","86.583,73","84.755,68","6,29M","-0,47%"
"19.12.2018","85.673,52","86.616,59","88.101,07","85.673,52","5,84M","-1,08%"
"18.12.2018","86.610,49","86.400,35","87.274,15","86.400,35","4,22M","0,24%"
"17.12.2018","86.399,68","87.448,03","87.819,90","86.327,69","3,97M","-1,20%"
"14.12.2018","87.449,50","87.837,59","88.183,93","87.106,12","3,66M","-0,44%"
"13.12.2018","87.837,59","86.979,07","87.842,49","86.856,34","3,77M","0,99%"
"12.12.2018","86.977,46","86.419,92","87.945,65","86.419,92","5,16M","0,65%"
"11.12.2018","86.419,57","85.918,08","87.520,48","85.583,05","4,53M","0,59%"
"10.12.2018","85.914,71","88.115,07","88.384,22","85.914,71","4,21M","-2,50%"
"07.12.2018","88.115,07","88.849,12","89.985,99","87.907,38","4,62M","-0,82%"
"06.12.2018","88.846,48","88.932,58","88.932,58","87.025,06","4,51M","-0,22%"
"05.12.2018","89.039,79","88.644,17","89.111,20","88.448,91","2,88M","0,47%"
"04.12.2018","88.624,45","89.820,09","90.452,48","88.041,23","5,03M","-1,33%"
"03.12.2018","89.820,09","89.511,16","91.242,22","89.429,17","6,12M","0,35%"
"30.11.2018","89.504,03","89.709,12","90.245,54","89.257,73","6,95M","-0,23%"
"29.11.2018","89.709,56","89.249,06","89.909,58","88.475,27","4,39M","0,51%"
"28.11.2018","89.250,82","87.891,18","89.482,93","87.153,47","5,46M","1,55%"
"27.11.2018","87.891,18","85.547,48","88.017,90","85.376,78","5,12M","2,74%"
"26.11.2018","85.546,51","86.237,45","87.147,38","84.904,74","4,70M","-0,79%"
"23.11.2018","86.230,22","87.479,45","87.479,45","85.762,82","4,28M","-1,43%"
"22.11.2018","87.477,44","87.268,68","87.656,37","87.221,67","2,31M","0,24%"
"21.11.2018","87.268,80","87.896,13","87.896,13","86.254,21","4,27M","-0,72%"
"19.11.2018","87.900,83","88.472,47","88.483,65","87.046,54","3,75M","-0,69%"
"16.11.2018","88.515,27","85.974,89","88.516,46","85.974,89","5,34M","2,96%"
"14.11.2018","85.973,06","84.898,40","85.973,06","84.267,01","5,76M","1,25%"
"13.11.2018","84.914,11","85.531,13","85.940,63","84.071,39","4,55M","-0,71%"
"12.11.2018","85.524,70","85.643,90","86.227,44","85.009,29","3,64M","-0,14%"
"09.11.2018","85.641,21","85.620,13","86.233,42","84.030,36","4,96M","0,02%"
"08.11.2018","85.620,13","87.719,45","88.569,70","85.620,13","5,46M","-2,39%"
"07.11.2018","87.714,35","88.676,31","89.564,71","87.540,86","4,51M","-1,08%"
"06.11.2018","88.668,92","89.587,02","89.587,02","88.065,84","4,50M","-1,04%"
"05.11.2018","89.598,16","88.418,37","89.598,16","88.347,26","4,76M","1,33%"
"01.11.2018","88.419,05","87.427,56","89.017,37","87.094,01","6,06M","1,14%"
"31.10.2018","87.423,55","86.888,69","88.028,20","86.213,13","6,07M","0,62%"
"30.10.2018","86.885,71","83.801,52","86.989,63","83.801,52","6,76M","3,69%"
"29.10.2018","83.796,71","85.728,47","88.377,16","82.782,96","7,97M","-2,24%"
"26.10.2018","85.719,87","84.083,51","85.719,87","83.497,17","6,67M","1,95%"
"25.10.2018","84.083,51","83.124,32","84.830,92","83.124,32","5,53M","1,23%"
"24.10.2018","83.063,56","85.301,87","85.786,21","83.034,85","4,82M","-2,62%"
"23.10.2018","85.300,03","85.595,34","85.595,34","84.032,43","4,52M","-0,35%"
"22.10.2018","85.596,69","84.221,85","85.772,47","84.221,85","3,99M","1,63%"
"19.10.2018","84.219,74","83.845,35","84.954,41","83.666,71","3,87M","0,44%"
"18.10.2018","83.847,12","85.759,82","85.759,82","83.845,84","4,21M","-2,24%"
"17.10.2018","85.763,95","85.713,92","86.167,32","84.944,05","5,01M","0,05%"
"16.10.2018","85.717,56","83.420,01","85.717,56","83.420,01","4,96M","2,83%"
"15.10.2018","83.359,76","82.922,49","84.278,04","82.922,49","4,93M","0,53%"
"11.10.2018","82.921,08","83.700,40","84.748,55","82.607,34","5,35M","-0,91%"
"10.10.2018","83.679,11","86.084,48","86.084,57","83.679,11","5,38M","-2,80%"
"09.10.2018","86.087,55","86.052,94","86.573,49","85.432,70","6,66M","0,00%"
"08.10.2018","86.083,91","82.324,46","87.333,09","82.324,46","10,31M","4,57%"
"05.10.2018","82.321,52","82.972,09","83.804,97","82.029,95","5,56M","-0,76%"
"04.10.2018","82.952,81","83.275,01","83.430,40","81.891,66","5,09M","-0,38%"
"03.10.2018","83.273,40","81.624,31","85.441,79","81.622,97","7,85M","2,04%"
"02.10.2018","81.612,28","78.625,46","81.778,19","78.625,46","6,13M","3,80%"
"01.10.2018","78.623,66","79.350,43","79.556,55","78.090,72","3,23M","-0,91%"
"28.09.2018","79.342,42","80.000,09","80.000,09","78.966,99","4,19M","-0,82%"
"27.09.2018","80.000,09","78.675,71","80.106,92","78.675,71","4,61M","1,71%"
"26.09.2018","78.656,16","78.634,18","79.460,89","78.530,18","3,85M","0,03%"
"25.09.2018","78.630,14","77.979,59","78.688,47","77.005,45","3,81M","0,83%"
"24.09.2018","77.984,18","79.446,73","79.446,73","77.857,06","2,91M","-1,84%"
"21.09.2018","79.444,29","78.116,32","80.001,60","78.116,32","4,81M","1,70%"
"20.09.2018","78.116,01","78.168,66","78.943,89","77.820,24","3,23M","-0,07%"
"19.09.2018","78.168,66","78.268,35","79.020,76","77.623,92","3,90M","-0,19%"
"18.09.2018","78.313,96","76.780,71","78.454,46","76.676,97","4,30M","1,99%"
"17.09.2018","76.788,85","75.428,42","76.893,13","75.227,25","3,50M","1,80%"
"14.09.2018","75.429,09","74.686,67","75.704,76","74.444,78","3,33M","0,99%"
"13.09.2018","74.686,67","75.126,02","75.407,05","74.500,94","3,16M","-0,58%"
"12.09.2018","75.124,81","74.679,79","75.679,52","74.498,71","3,82M","0,63%"
"11.09.2018","74.656,51","76.437,15","76.437,15","74.274,51","3,51M","-2,33%"
"10.09.2018","76.436,35","76.416,01","77.293,01","76.114,61","3,20M","0,03%"
"06.09.2018","76.416,01","75.098,30","76.533,41","74.986,42","3,40M","1,76%"
"05.09.2018","75.092,27","74.712,14","75.369,51","74.276,40","2,92M","0,51%"
"04.09.2018","74.711,80","76.192,18","76.192,18","74.605,49","3,26M","-1,94%"
"03.09.2018","76.192,73","76.675,48","76.675,48","75.728,84","1,73M","-0,63%"
"31.08.2018","76.677,53","76.385,67","77.202,24","76.025,96","4,27M","0,36%"
"30.08.2018","76.404,09","78.388,83","78.388,83","76.372,21","1,73M","-2,53%"
"29.08.2018","78.388,83","77.471,84","78.782,51","77.399,08","3,22M","1,18%"
"28.08.2018","77.473,18","77.927,70","78.038,05","77.149,44","3,06M","-0,59%"
"27.08.2018","77.929,68","76.264,27","78.007,58","76.264,27","2,84M","2,19%"
"24.08.2018","76.262,23","75.647,35","76.628,66","75.647,35","3,26M","0,83%"
"23.08.2018","75.633,77","76.898,15","77.232,11","75.465,85","3,99M","-1,65%"
"22.08.2018","76.902,30","75.171,37","76.904,48","74.875,80","3,72M","2,29%"
"21.08.2018","75.180,40","76.326,79","76.339,91","74.914,79","4,20M","-1,50%"
"20.08.2018","76.327,89","76.028,61","76.497,03","75.607,85","3,69M","0,39%"
"17.08.2018","76.028,50","76.816,84","76.816,84","75.632,81","3,86M","-1,03%"
"16.08.2018","76.818,72","77.084,96","77.703,73","76.381,27","3,39M","-0,34%"
"15.08.2018","77.077,50","78.613,52","78.617,96","76.828,55","4,52M","-1,94%"
"14.08.2018","78.602,11","77.498,61","78.741,69","77.498,61","3,83M","1,43%"
"13.08.2018","77.496,45","76.513,00","77.689,01","75.931,14","4,08M","1,28%"
"10.08.2018","76.514,35","78.766,07","78.766,07","76.043,11","4,83M","-2,86%"
"09.08.2018","78.767,99","79.170,78","79.460,64","78.156,47","3,83M","-0,48%"
"08.08.2018","79.151,70","80.346,52","80.911,99","78.966,21","3,95M","-1,49%"
"07.08.2018","80.346,52","81.092,69","81.742,39","79.923,07","3,98M","-0,87%"
"06.08.2018","81.050,76","81.444,64","81.764,90","80.964,91","2,59M","-0,47%"
"03.08.2018","81.434,98","79.655,71","81.792,10","79.655,71","3,92M","2,26%"
"02.08.2018","79.636,69","79.237,20","79.896,29","78.573,05","3,10M","0,42%"
"01.08.2018","79.301,65","79.212,99","79.730,63","78.768,87","3,33M","0,10%"
"31.07.2018","79.220,43","80.279,31","80.279,31","79.016,26","3,46M","-1,31%"
"30.07.2018","80.275,59","79.865,74","80.491,57","79.699,03","2,71M","0,51%"
"27.07.2018","79.866,10","79.405,45","80.250,92","79.405,45","3,11M","0,58%"
"26.07.2018","79.405,34","80.242,42","80.588,66","79.081,32","3,71M","-1,01%"
"25.07.2018","80.218,04","79.154,02","80.436,63","79.154,02","3,58M","1,34%"
"24.07.2018","79.154,98","78.005,14","79.496,72","78.005,14","3,38M","1,49%"
"23.07.2018","77.996,12","78.571,29","78.639,38","77.871,41","2,52M","-0,73%"
"20.07.2018","78.571,29","77.499,69","79.488,74","77.499,69","4,89M","1,40%"
"19.07.2018","77.486,84","77.359,85","77.486,84","75.889,82","3,90M","0,16%"
"18.07.2018","77.362,63","78.123,54","78.496,15","77.163,55","3,50M","-0,98%"
"17.07.2018","78.130,30","76.652,52","78.522,17","76.481,91","4,00M","1,93%"
"16.07.2018","76.652,58","76.587,39","76.923,95","76.129,27","3,23M","0,08%"
"13.07.2018","76.594,35","75.856,22","76.682,09","75.553,78","3,42M","0,97%"
"12.07.2018","75.856,22","74.402,98","75.897,89","74.402,98","3,62M","1,96%"
"11.07.2018","74.398,55","74.862,38","75.024,51","74.196,44","3,88M","-0,62%"
"10.07.2018","74.862,38","75.015,10","75.895,19","74.431,23","4,02M","-0,20%"
"06.07.2018","75.010,39","74.557,62","75.064,74","74.047,97","2,73M","0,61%"
"05.07.2018","74.553,06","74.751,02","75.126,63","73.755,83","3,67M","-0,25%"
"04.07.2018","74.743,11","73.667,40","74.904,36","73.449,59","2,21M","1,46%"
"03.07.2018","73.667,75","72.847,84","74.514,86","72.847,84","3,35M","1,14%"
"02.07.2018","72.839,74","72.762,51","72.839,74","71.934,70","2,84M","0,11%"
"29.06.2018","72.762,51","71.779,05","73.020,19","71.779,05","4,00M","1,39%"
"28.06.2018","71.766,52","70.609,00","72.092,31","70.439,44","3,62M","1,64%"
"27.06.2018","70.609,00","71.405,26","72.032,13","70.133,96","3,70M","-1,11%"
"26.06.2018","71.404,59","70.967,67","71.621,51","70.202,97","3,61M","0,64%"
"25.06.2018","70.952,97","70.641,99","71.323,17","69.779,24","3,45M","0,44%"
"22.06.2018","70.640,65","70.076,53","71.057,56","69.906,76","3,15M","0,81%"
"21.06.2018","70.074,90","72.117,36","72.206,55","70.018,65","3,60M","-2,84%"
"20.06.2018","72.123,41","71.396,77","72.617,28","71.154,83","4,55M","1,02%"
"19.06.2018","71.394,34","69.811,36","72.010,18","69.068,77","5,35M","2,26%"
"18.06.2018","69.814,74","70.757,06","70.757,06","69.359,55","3,58M","-1,33%"
"15.06.2018","70.757,73","71.420,52","71.420,52","69.582,50","6,66M","-0,93%"
"14.06.2018","71.421,19","72.151,33","72.707,61","71.343,71","4,41M","-0,97%"
"13.06.2018","72.122,14","72.756,83","72.977,13","71.035,03","4,50M","-0,87%"
"12.06.2018","72.754,13","72.308,33","73.321,55","72.123,77","4,01M","0,62%"
"11.06.2018","72.307,77","72.942,52","73.715,74","71.843,01","3,67M","-0,87%"
"08.06.2018","72.942,07","73.847,88","74.031,36","71.679,48","6,14M","-1,23%"
"07.06.2018","73.851,46","76.117,22","76.117,22","71.161,52","8,17M","-2,98%"
"06.06.2018","76.117,22","76.641,03","76.966,87","75.517,53","5,02M","-0,68%"
"05.06.2018","76.641,72","78.595,23","78.892,02","76.412,03","4,64M","-2,49%"
"04.06.2018","78.596,06","77.243,91","78.637,44","77.243,91","4,15M","1,76%"
"01.06.2018","77.239,75","76.779,38","78.168,54","75.524,43","6,23M","0,63%"
"30.05.2018","76.753,61","76.057,54","77.096,63","75.514,60","7,67M","0,90%"
"29.05.2018","76.071,97","75.361,05","77.213,65","75.361,05","6,16M","0,95%"
"28.05.2018","75.355,84","78.886,48","78.886,48","75.336,89","4,31M","-4,49%"
"25.05.2018","78.897,66","80.123,45","80.628,85","78.622,41","4,81M","-1,53%"
"24.05.2018","80.122,31","80.859,80","80.859,80","79.026,52","6,37M","-0,92%"
"23.05.2018","80.867,29","82.741,54","82.741,54","80.867,29","4,00M","-2,26%"
"22.05.2018","82.738,88","81.817,42","83.395,91","81.612,62","4,93M","1,13%"
"21.05.2018","81.815,32","83.095,39","83.882,87","81.575,52","4,37M","-1,52%"
"18.05.2018","83.081,88","83.613,64","83.613,64","81.390,93","5,91M","-0,65%"
"17.05.2018","83.621,95","86.536,52","86.536,52","83.377,37","5,68M","-3,37%"
"16.05.2018","86.536,97","85.121,64","86.678,21","85.043,60","3,82M","1,65%"
"15.05.2018","85.130,42","85.224,78","85.231,47","83.829,79","4,54M","-0,12%"
"14.05.2018","85.232,18","85.221,90","86.105,04","84.687,67","4,21M","0,01%"
"11.05.2018","85.220,24","85.861,42","86.406,22","85.183,37","4,52M","-0,75%"
"10.05.2018","85.861,20","84.283,91","86.200,93","84.283,91","4,75M","1,89%"
"09.05.2018","84.265,49","82.977,48","84.447,31","82.855,18","4,84M","1,58%"
"08.05.2018","82.956,05","82.714,98","83.408,91","82.201,28","4,07M","0,29%"
"07.05.2018","82.714,43","83.122,31","83.642,91","82.601,51","2,93M","-0,49%"
"04.05.2018","83.118,03","83.286,38","83.670,63","82.745,64","3,58M","-0,20%"
"03.05.2018","83.288,14","84.546,82","84.562,37","83.178,35","4,10M","-1,49%"
"02.05.2018","84.547,09","86.110,76","86.110,76","84.382,57","3,84M","-1,82%"
"30.04.2018","86.115,50","86.442,70","86.739,48","85.978,54","2,25M","-0,38%"
"27.04.2018","86.444,66","86.383,20","87.178,65","86.262,43","3,14M","0,07%"
"26.04.2018","86.383,20","85.051,35","86.383,20","85.051,35","3,23M","1,57%"
"25.04.2018","85.044,39","85.465,87","85.465,87","84.348,70","3,32M","-0,50%"
"24.04.2018","85.469,08","85.603,18","86.577,74","85.105,85","2,93M","-0,16%"
"23.04.2018","85.602,50","85.520,42","85.745,94","84.710,73","2,50M","0,06%"
"20.04.2018","85.550,09","85.823,13","85.823,13","85.024,85","3,08M","-0,32%"
"19.04.2018","85.824,26","85.774,78","86.059,44","85.197,28","3,63M","0,06%"
"18.04.2018","85.776,46","84.090,28","86.149,14","84.090,28","4,33M","2,01%"
"17.04.2018","84.086,13","82.862,26","84.191,19","82.809,56","2,71M","1,48%"
