"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"02.05.2019","45,30","44,82","45,53","44,53","-","0,64%"
"30.04.2019","45,01","46,20","46,60","44,54","1,98M","-1,72%"
"29.04.2019","45,80","46,25","46,25","45,47","737,70K","0,28%"
"26.04.2019","45,67","45,50","46,20","45,30","1,05M","-0,04%"
"25.04.2019","45,69","45,23","45,69","44,36","1,84M","1,20%"
"24.04.2019","45,15","46,12","46,17","44,74","1,82M","-2,10%"
"23.04.2019","46,12","46,11","46,77","45,84","1,70M","0,26%"
"22.04.2019","46,00","45,44","46,00","44,61","1,28M","1,50%"
"18.04.2019","45,32","44,25","45,67","43,83","1,49M","3,07%"
"17.04.2019","43,97","45,37","45,98","43,76","2,96M","-3,06%"
"16.04.2019","45,36","44,55","46,08","44,42","1,22M","1,68%"
"15.04.2019","44,61","44,71","45,45","44,43","1,45M","-0,18%"
"12.04.2019","44,69","44,30","45,54","44,19","1,84M","0,20%"
"11.04.2019","44,60","45,15","45,15","44,05","1,05M","-1,24%"
"10.04.2019","45,16","45,10","45,36","44,71","1,09M","0,87%"
"09.04.2019","44,77","44,94","45,17","44,23","1,53M","-1,58%"
"08.04.2019","45,49","45,52","45,86","45,20","1,38M","-0,44%"
"05.04.2019","45,69","44,95","45,69","44,30","1,31M","2,40%"
"04.04.2019","44,62","43,61","44,72","42,91","2,63M","3,17%"
"03.04.2019","43,25","43,90","44,62","43,25","1,28M","-0,92%"
"02.04.2019","43,65","44,74","44,82","43,32","2,04M","-1,45%"
"01.04.2019","44,29","43,82","44,92","43,54","1,27M","1,33%"
"29.03.2019","43,71","43,44","43,78","42,95","1,11M","1,91%"
"28.03.2019","42,89","40,96","43,41","40,90","1,93M","3,70%"
"27.03.2019","41,36","42,94","43,53","41,36","3,59M","-4,83%"
"26.03.2019","43,46","44,16","44,16","43,19","2,15M","-0,09%"
"25.03.2019","43,50","42,83","43,69","42,79","1,41M","1,14%"
"22.03.2019","43,01","43,06","43,82","42,33","2,50M","-2,54%"
"21.03.2019","44,13","44,91","45,17","43,26","1,83M","-1,76%"
"20.03.2019","44,92","45,58","46,12","44,92","1,46M","-2,05%"
"19.03.2019","45,86","46,67","46,75","45,86","1,02M","-1,63%"
"18.03.2019","46,62","46,74","46,86","46,27","716,50K","0,24%"
"15.03.2019","46,51","45,85","46,90","45,44","1,44M","0,48%"
"14.03.2019","46,29","46,84","46,92","46,07","1,04M","-1,15%"
"13.03.2019","46,83","45,43","47,21","45,14","2,35M","3,08%"
"12.03.2019","45,43","45,75","45,99","45,24","1,64M","-0,66%"
"11.03.2019","45,73","44,54","45,75","44,54","1,78M","3,60%"
"08.03.2019","44,14","43,73","44,56","43,29","1,49M","0,89%"
"07.03.2019","43,75","43,32","44,31","43,13","1,65M","0,99%"
"06.03.2019","43,32","43,76","44,24","43,22","1,23M","-1,63%"
"01.03.2019","44,04","44,94","45,25","44,04","1,58M","-1,43%"
"28.02.2019","44,68","46,45","46,45","44,68","3,19M","-4,14%"
"27.02.2019","46,61","46,97","47,55","46,32","1,06M","-0,98%"
"26.02.2019","47,07","47,49","47,78","47,07","793,40K","-0,68%"
"25.02.2019","47,39","48,32","48,92","47,25","1,04M","-2,01%"
"22.02.2019","48,36","48,27","48,81","47,93","1,22M","-0,12%"
"21.02.2019","48,42","48,50","48,84","47,62","868,60K","0,37%"
"20.02.2019","48,24","49,59","49,71","48,24","1,94M","-1,97%"
"19.02.2019","49,21","48,06","49,69","48,05","1,30M","1,86%"
"18.02.2019","48,31","48,71","48,71","47,81","851,40K","-1,23%"
"15.02.2019","48,91","48,73","49,71","48,55","1,13M","-0,51%"
"14.02.2019","49,16","47,62","49,27","47,13","1,31M","2,67%"
"13.02.2019","47,88","49,16","49,40","47,48","2,38M","-1,80%"
"12.02.2019","48,76","48,71","49,21","48,20","1,38M","1,50%"
"11.02.2019","48,04","48,57","48,82","47,72","872,70K","-1,38%"
"08.02.2019","48,71","47,17","48,86","47,17","1,79M","2,46%"
"07.02.2019","47,54","47,51","48,31","46,87","1,25M","0,19%"
